user,friends_of_friends
1,294
2,8553
3,15
4,13
5,311
6,122
7,2133
8,116
9,1372
10,2657
11,2094
12,1385
13,686
14,676
15,122
16,344
17,367
18,2074
19,9381
20,972
21,2574
22,2485
23,2657
24,4132
25,6250
26,2296
27,5581
28,1485
29,1451
30,1643
31,2391
32,3753
33,1549
34,4283
35,1871
36,790
37,916
38,208
39,2777
40,2055
41,1380
42,2063
43,4284
44,3021
45,1034
46,2811
47,4008
48,1560
49,1193
50,2519
51,1282
52,1005
53,632
54,2452
55,1734
56,5362
57,3876
58,15275
59,3945
60,9681
61,731
62,7056
63,3268
64,4219
65,527
66,4728
67,3676
68,4456
69,1168
70,666
71,965
72,1299
73,7528
74,1452
75,2710
76,60149
77,1678
78,4652
79,8459
80,1991
81,1212
82,720
83,3356
84,1461
85,868
86,4785
87,2133
88,2433
89,3622
90,19738
91,4775
92,4075
93,5706
94,3181
95,3569
96,446
97,1719
98,1372
99,2107
100,4058
101,11601
102,6044
105,546
106,3748
107,670
108,3221
109,1442
110,436
111,1053
112,387
113,3105
114,2654
115,3218
116,1985
117,25
118,52
119,2014
120,540
122,4642
123,4278
124,3297
125,722
126,857
127,3603
128,2415
129,3562
130,1261
131,1541
133,2750
134,1342
135,5376
136,4270
137,3669
138,123
139,4160
140,1298
141,1693
142,1369
143,6776
144,5370
145,1439
146,5366
147,2066
148,2623
149,51
150,32
152,384
155,2711
156,1754
157,27131
158,5825
159,492
160,1654
161,746
162,2530
163,18618
164,4902
165,4311
166,3336
167,1538
168,1269
169,215
170,694
171,150
172,7030
173,4041
174,2522
175,549
176,512
177,354
178,2148
179,722
180,960
181,740
182,415
183,1259
184,286
185,1491
186,1471
188,33
189,265027
190,1929
191,340
192,3396
193,333
194,1135
195,2401
196,4379
197,1646
198,239
199,2265
200,1744
201,3181
202,1327
203,3815
204,5113
205,1264
206,486
207,5012
208,3387
209,1526
210,2478
211,582
212,2914
213,1767
214,803
215,1469
216,2345
217,2121
218,3233
219,2648
220,2037
221,495
222,3519
223,71
224,18961
225,4773
226,1340
227,592
228,3017
229,7067
230,4629
231,2743
232,2786
234,2938
235,4996
236,597
237,1716
238,2484
239,827
240,994
241,1101
242,4801
243,3302
244,555
245,449
246,365
247,575
248,693
249,1299
250,639
251,720
252,1957
253,4769
254,4238
255,1193
256,2305
257,6138
258,2410
259,462
260,7195
261,584
262,575
263,6516
264,814
265,5187
266,1267
267,858
268,4487
269,1969
270,3822
271,2276
272,1315
273,1382
274,1801
275,885
276,2822
277,3334
278,1655
279,2378
280,2729
281,653
282,1015
283,4077
284,1843
285,1868
286,1262
287,457
288,4166
289,7563
290,1482
291,2207
292,1573
293,4439
294,2065
295,334
297,512
300,1804
301,4543
302,1722
303,311
304,2240
305,215
306,864
307,1198
