user_male,friends_male,friends_female
1,6,8
3,1,2
5,4,10
8,2,2
12,15,27
15,1,3
16,0,7
18,25,13
19,15,168
24,42,42
27,28,62
28,17,11
30,10,15
31,24,29
32,49,30
33,16,18
34,38,46
36,10,9
37,12,4
38,3,3
39,22,26
40,34,10
41,12,20
42,1,41
43,42,43
44,15,48
48,10,11
49,5,15
51,17,14
52,11,10
53,7,3
54,33,10
59,22,62
62,46,84
64,16,62
65,2,9
67,36,34
69,12,13
71,12,8
75,19,19
76,78,917
77,12,14
78,15,44
79,50,124
81,8,10
86,33,70
87,18,32
89,18,27
91,28,67
93,45,60
94,24,33
95,12,56
97,4,19
101,47,136
102,34,49
105,8,2
106,40,39
107,5,11
108,19,21
111,10,10
112,9,5
113,28,45
114,11,26
115,27,44
116,22,20
117,0,1
118,1,1
120,10,0
122,40,38
123,13,69
124,30,29
125,6,13
126,14,7
127,14,30
128,7,31
130,17,14
131,16,19
133,24,27
134,5,17
136,38,31
139,51,21
142,2,26
144,27,43
145,8,17
148,10,38
149,4,1
150,1,1
155,20,35
159,3,11
160,7,17
162,26,31
163,45,1
164,3,63
165,24,58
172,17,74
181,5,14
183,6,30
184,1,7
189,2603,4058
190,8,15
191,1,5
195,12,48
197,14,20
198,2,7
202,10,24
204,38,61
205,7,18
206,4,9
209,13,20
211,7,5
214,5,15
215,14,9
216,21,40
218,21,41
219,18,31
220,13,37
222,23,50
223,0,3
224,79,162
227,7,8
228,39,22
229,45,80
236,1,15
242,45,51
245,9,4
246,3,9
248,8,11
256,7,31
258,24,33
260,4,5
261,7,10
263,29,82
265,14,41
266,5,22
267,7,12
268,48,40
269,2,45
273,4,22
274,8,25
277,34,40
281,0,15
282,10,14
283,29,69
284,11,20
286,5,15
287,0,8
288,16,91
289,27,117
290,9,15
292,4,36
294,21,18
297,0,9
300,19,17
301,30,25
302,3,30
303,3,4
304,24,10
305,1,11
306,4,17
310,61,109
311,30,22
312,20,27
315,76,47
317,0,121
318,57,40
319,20,14
320,22,7
321,4,3
322,17,12
325,18,35
326,29,43
329,7,20
330,25,32
332,14,35
336,65,47
337,14,24
340,3,9
341,10,18
342,0,2
343,32,27
346,0,1
350,15,24
355,4,8
356,16,19
363,15,1
367,6,9
368,45,28
369,24,52
370,27,31
373,56,59
374,9,15
381,21,37
383,20,117
384,8,1
393,22,15
396,6,15
398,4,12
399,16,17
400,72,56
403,8,6
404,24,27
405,49,55
409,2,2
410,0,1
415,14,6
418,19,14
420,16,10
429,22,9
430,18,29
433,10,23
434,27,53
437,0,18
439,4,3
443,24,41
446,0,5
447,9,26
451,36,11
452,11,8
453,21,26
454,50,41
455,16,5
456,70,53
457,24,22
459,27,18
461,18,8
462,13,8
463,4,1
464,12,13
465,49,46
466,4,1
467,20,0
498,4,0
505,26,61
512,52,31
518,6,3
529,16,22
536,9,2
537,21,18
548,10,5
565,14,13
571,7,35
582,24,60
586,27,32
592,6,2
595,60,57
601,16,19
613,25,37
618,7,6
621,25,2
625,3,10
627,16,2
641,8,14
646,3,12
648,12,9
660,19,19
