user,friends_over_thirty
1,1
2,0
3,0
4,0
5,0
6,3
7,1
8,0
9,1
10,2
11,0
12,0
13,3
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,1
47,1
48,1
49,0
50,2
51,3
52,0
53,0
54,0
55,1
56,0
57,0
58,1
59,4
60,0
61,0
62,0
63,0
64,6
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,4
77,0
78,0
79,0
80,1
81,0
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,3
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,1
100,0
