user,friends
1,14
2,158
3,3
4,1
5,14
6,5
7,44
8,4
9,35
10,66
11,45
12,42
13,19
14,18
15,4
16,7
17,15
18,38
19,183
20,17
21,34
22,41
23,43
24,84
25,119
26,33
27,90
28,28
29,27
30,25
31,53
32,79
33,34
34,84
35,35
36,19
37,16
38,6
39,48
40,44
41,32
42,42
43,85
44,63
45,20
46,47
47,89
48,21
49,20
50,34
51,31
52,21
53,10
54,43
55,40
56,90
57,87
58,254
59,84
60,128
61,18
62,130
63,53
64,78
65,11
66,69
67,70
68,71
69,25
70,15
71,20
72,25
73,85
74,29
75,38
76,995
77,26
78,59
79,174
80,49
81,18
82,13
83,63
84,25
85,17
86,103
87,50
88,28
89,45
90,66
91,95
92,107
93,105
94,57
95,68
96,7
97,23
98,31
99,32
100,64
101,183
102,83
103,0
104,0
105,10
106,79
107,16
108,40
109,26
110,10
111,20
112,14
113,73
114,37
115,71
116,42
117,1
118,2
119,36
120,10
121,0
122,78
123,82
124,59
125,19
126,21
127,44
128,38
129,58
130,31
131,35
132,0
133,51
134,22
135,120
136,69
137,91
138,6
139,72
140,27
141,46
142,28
143,129
144,70
145,25
146,101
147,35
148,48
149,5
150,2
151,0
152,8
153,0
154,0
155,55
156,38
157,110
158,126
159,14
160,24
161,21
162,57
163,46
164,66
165,82
166,61
167,26
168,20
169,6
170,8
171,2
172,91
173,64
174,61
175,10
176,13
177,10
178,52
179,24
180,33
181,19
182,14
183,36
184,8
185,35
186,37
187,0
188,4
189,6661
190,23
191,6
192,64
193,10
194,21
195,60
196,91
197,34
198,9
199,45
200,44
201,55
202,34
203,62
204,99
205,25
206,13
207,78
208,50
209,33
210,46
211,12
212,48
213,29
214,20
215,23
216,61
217,60
218,62
219,49
220,50
221,9
222,73
223,3
224,241
225,86
226,36
227,15
228,61
229,125
230,99
231,64
232,46
233,0
234,39
235,105
236,16
237,30
238,60
239,24
240,26
241,33
242,96
243,60
244,13
245,13
246,12
247,19
248,19
249,27
250,20
251,20
252,59
253,86
254,83
255,30
256,38
257,112
258,57
259,12
260,9
261,17
262,13
263,111
264,14
265,55
266,27
267,19
268,88
269,47
270,75
271,54
272,35
273,26
274,33
275,20
276,48
277,74
278,40
279,44
280,52
281,15
282,24
283,98
284,31
285,36
286,20
287,8
288,107
289,144
290,24
291,53
292,40
293,66
294,39
295,10
296,0
297,9
298,0
299,0
300,36
301,55
302,33
303,7
304,34
305,12
306,21
307,24
308,179
309,33
310,170
311,52
312,47
313,22
314,45
315,123
316,16
317,121
318,97
319,34
320,29
321,7
322,29
323,26
324,38
325,53
326,72
327,59
328,23
329,27
330,57
331,40
332,49
333,26
334,59
335,98
336,112
337,38
338,34
339,69
340,12
341,28
342,2
343,59
344,1
345,13
346,1
347,60
348,0
349,11
350,39
351,31
352,15
353,14
354,31
355,12
356,35
357,66
358,56
359,32
360,27
361,17
362,70
363,16
364,7
365,17
366,64
367,15
368,73
369,76
370,58
371,46
372,17
373,115
374,24
375,2
376,6
377,0
378,47
379,0
380,4
381,58
382,43
383,137
384,9
385,2
386,44
387,16
388,29
389,2
390,16
391,8
392,107
393,37
394,32
395,27
396,21
397,16
398,16
399,33
400,128
401,27
402,8
403,14
404,51
405,104
406,26
407,70
408,32
409,4
410,1
411,78
412,42
413,10
414,40
415,20
416,61
417,42
418,33
419,34
420,26
421,27
422,11
423,39
424,64
425,17
426,45
427,0
428,22
429,31
430,47
431,74
432,34
433,33
434,80
435,4
436,38
437,18
438,11
439,7
440,7
441,21
442,49
443,65
444,17
445,11
446,5
447,35
448,11
449,76
450,56
451,47
452,19
453,47
454,91
455,21
456,123
457,46
458,136
459,45
460,86
461,26
462,21
463,5
464,25
465,95
466,5
467,20
468,34
469,149
470,3
471,57
472,73
473,85
474,59
475,43
476,2
477,35
478,16
479,2
480,76
481,27
482,135
483,227
484,118
485,132
486,23
487,51
488,14
489,44
490,130
491,46
492,44
493,62
494,42
495,31
496,73
497,83
498,4
499,38
500,93
501,23
502,18
503,42
504,71
505,87
506,101
507,128
508,65
509,10
510,41
511,69
512,83
513,39
514,101
515,36
516,49
517,44
518,9
519,77
520,20
521,61
522,61
523,22
524,153
525,34
526,66
527,55
528,36
529,38
530,131
531,40
532,67
533,67
534,88
535,29
536,11
537,39
538,165
539,36
540,20
541,59
542,36
543,32
544,82
545,51
546,36
547,71
548,15
549,59
550,92
551,74
552,86
553,71
554,16
555,131
556,37
557,27
558,112
559,99
560,30
561,27
562,26
563,73
564,49
565,27
566,10
567,69
568,59
569,37
570,73
571,42
572,28
573,93
574,86
575,42
576,55
577,49
578,38
579,91
580,68
581,76
582,84
583,29
584,25
585,242
586,59
587,24
588,51
589,31
590,32
591,35
592,8
593,51
594,119
595,117
596,34
597,107
598,111
599,23
600,28
601,35
602,33
603,21
604,46
605,70
606,31
607,58
608,62
609,66
610,42
611,31
612,25
613,62
614,21
615,3
616,36
617,69
618,13
619,160
620,36
621,27
622,29
623,41
624,76
625,13
626,31
627,18
628,149
629,24
630,63
631,35
632,63
633,7
634,72
635,41
636,0
637,36
638,29
639,11
640,24
641,22
642,73
643,25
644,31
645,5
646,15
647,151
648,21
649,133
650,67
651,0
652,54
653,121
654,30
655,4
656,26
657,16
658,71
659,48
660,38
661,1
662,44
663,32
664,32
665,22
666,38
667,51
668,27
669,44
670,29
671,12
672,55
673,53
674,11
675,111
676,0
677,40
678,32
679,102
680,42
681,33
682,54
683,69
684,30
685,19
686,19
687,73
688,1
689,77
690,41
691,17
692,14
693,128
694,52
695,52
696,5
697,12
698,53
699,111
700,13
701,10
702,9
703,10
704,53
705,12
706,177
707,16
708,111
709,33
710,28
711,85
712,8
713,24
714,62
715,56
716,163
717,103
718,36
719,30
720,46
721,25
722,7
723,25
724,57
725,14
726,0
727,48
728,8
729,67
730,72
731,86
732,21
733,53
734,31
735,7
736,36
737,31
738,14
739,30
740,0
741,53
742,7
743,5
744,54
745,53
746,147
747,29
748,19
749,8
750,23
751,6
752,61
753,13
754,134
755,65
756,57
757,57
758,30
759,41
760,83
761,31
762,42
763,49
764,6
765,63
766,14
767,12
768,73
769,34
770,25
771,55
772,41
773,69
774,56
775,73
776,40
777,111
778,93
779,30
780,36
781,12
782,6
783,69
784,55
785,114
786,85
787,91
788,44
789,18
790,96
791,20
792,25
793,58
794,16
795,3
796,185
797,88
798,41
799,57
800,82
801,207
802,63
803,17
804,95
805,37
806,81
807,25
808,71
809,52
810,25
811,27
812,12
813,28
814,73
815,39
816,30
817,44
818,32
819,82
820,47
821,22
822,34
823,35
824,24
825,49
826,48
827,5
828,74
829,0
830,30
831,6
832,175
833,0
834,4
835,113
836,27
837,4
838,34
839,56
840,44
841,20
842,16
843,25
844,50
845,115
846,110
847,19
848,172
849,37
850,8
851,92
852,13
853,55
854,151
855,60
856,46
857,91
858,0
859,130
860,34
861,69
862,137
863,37
864,31
865,62
866,72
867,21
868,26
869,47
870,14
871,5
872,42
873,49
874,48
875,26
876,22
877,15
878,146
879,50
880,32
881,44
882,31
883,38
884,19
885,26
886,29
887,18
888,34
889,9
890,77
891,39
892,24
893,62
894,54
895,123
896,34
897,12
898,21
899,16
900,113
901,51
902,15
903,13
904,78
905,110
906,22
907,76
908,30
909,47
910,31
911,58
912,35
913,66
914,17
915,28
916,194
917,46
918,75
919,54
920,25
921,69
922,109
923,29
924,28
925,45
926,56
927,22
928,56
929,30
930,36
931,115
932,22
933,61
934,39
935,16
936,23
937,8
938,168
939,18
940,15
941,29
942,59
943,25
944,10
945,30
946,24
947,129
948,53
949,12
950,59
951,58
952,43
953,43
954,118
955,35
956,46
957,70
958,53
959,25
960,1
961,10
962,111
963,51
964,44
965,12
966,51
967,75
968,285
969,25
970,93
971,57
972,43
973,65
974,315
975,25
976,26
977,13
978,55
979,1
980,46
981,139
982,29
983,38
984,21
985,29
986,16
987,7
988,37
989,19
990,44
991,64
992,46
993,5
994,28
995,12
996,34
997,29
998,56
999,90
1000,173
